quantity,Future_pred
8760.0,
9720.0,
11820.0,
12720.0,
11880.0,
11520.0,
8460.0,
12120.0,
12000.0,
10800.0,
8820.0,
8700.0,
9600.0,
9180.0,
10260.0,
10560.0,
10200.0,
9480.0,
10140.0,
9480.0,
10200.0,
10620.0,
12180.0,
12480.0,
13920.0,
10320.0,
12300.0,
9900.0,
9600.0,
8760.0,
10560.0,
9420.0,
10680.0,
9060.0,
10320.0,
10140.0,
11640.0,
9540.0,
11340.0,
9240.0,
10860.0,
8400.0,
10740.0,
9540.0,
11400.0,
8880.0,
10920.0,
7920.0,
10980.0,
9840.0,
9660.0,
9840.0,
9720.0,
9480.0,
9120.0,
9120.0,
11400.0,
9360.0,
11580.0,
9960.0,
11040.0,
9660.0,
11340.0,
10620.0,
11820.0,
10800.0,
11700.0,
9420.0,
9960.0,
8220.0,
10080.0,
7860.0,
7020.0,
7320.0,
8220.0,
8220.0,
9480.0,
9960.0,
10980.0,
10140.0,
10860.0,
8760.0,
12000.0,
10320.0,
9900.0,
9720.0,
10620.0,
10140.0,
10560.0,
10140.0,
11940.0,
12420.0,
11580.0,
12420.0,
11700.0,
10560.0,
11280.0,
10560.0,
11820.0,
10200.0,
11100.0,
9300.0,
9120.0,
9180.0,
11820.0,
12060.0,
13140.0,
10560.0,
10680.0,
9240.0,
10200.0,
9600.0,
11160.0,
10380.0,
11400.0,
10080.0,
11580.0,
11040.0,
10680.0,
12060.0,
12180.0,
11880.0,
13140.0,
12240.0,
11280.0,
10740.0,
15720.0,
13500.0,
15120.0,
13680.0,
13140.0,
13380.0,
13680.0,
13560.0,
14700.0,
13920.0,
14760.0,
13020.0,
14280.0,
12720.0,
16560.0,
17400.0,
15300.0,
12720.0,
12780.0,
12240.0,
13560.0,
11940.0,
14400.0,
15660.0,
13860.0,
13980.0,
13860.0,
12960.0,
14400.0,
12900.0,
15180.0,
14400.0,
12840.0,
12360.0,
12480.0,
13260.0,
14220.0,
12540.0,
14520.0,
12780.0,
13440.0,
13140.0,
13980.0,
13920.0,
14280.0,
15540.0,
14940.0,
13200.0,
13620.0,
14340.0,
15000.0,
16440.0,
14640.0,
16260.0,
16140.0,
16980.0,
15240.0,
15420.0,
15360.0,
16020.0,
15900.0,
16680.0,
15240.0,
14280.0,
15420.0,
16740.0,
16920.0,
17880.0,
17340.0,
18420.0,
17100.0,
17580.0,
16800.0,
18300.0,
18780.0,
17460.0,
18120.0,
15720.0,
15960.0,
17040.0,
14220.0,
16020.0,
14400.0,
16740.0,
13860.0,
15960.0,
16140.0,
14640.0,
13800.0,
14700.0,
15480.0,
15300.0,
14160.0,
12960.0,
14580.0,
16980.0,
15780.0,
15360.0,
15360.0,
15660.0,
17040.0,
15660.0,
17400.0,
17460.0,
17400.0,
16320.0,
14100.0,
14520.0,
15000.0,
15720.0,
15360.0,
16440.0,
14640.0,
14520.0,
15660.0,
13440.0,
11640.0,
14820.0,
15900.0,
15480.0,
14340.0,
15180.0,
13980.0,
14340.0,
13020.0,
12840.0,
12360.0,
13500.0,
13380.0,
13800.0,
13920.0,
14160.0,
14100.0,
13020.0,
11820.0,
13200.0,
13320.0,
12180.0,
11820.0,
10140.0,
9780.0,
15660.0,
12840.0,
9780.0,
10200.0,
10380.0,
9720.0,
9600.0,
9060.0,
7860.0,
7140.0,
8160.0,
7740.0,
9900.0,
10860.0,
10560.0,
11220.0,
9060.0,
10860.0,
10560.0,
11400.0,
8400.0,
6120.0,
6000.0,
5700.0,
5640.0,
7680.0,
7380.0,
7440.0,
6420.0,
6000.0,
7920.0,
9900.0,
9720.0,
10380.0,
10560.0,
8940.0,
7140.0,
5460.0,
5700.0,
6840.0,
6720.0,
7620.0,
6180.0,
7080.0,
7200.0,
7740.0,
7920.0,
9060.0,
8040.0,
8100.0,
8580.0,
7380.0,
6720.0,
8100.0,
7860.0,
,8285.872980417344
,7616.303232828025
,8181.448379293626
,7919.178537953372
,8116.162884393225
,8097.061128800148
,8174.727159904443
,8040.093051278085
,8084.73244365738
,7780.697329183589
,8457.917786796863
,8085.051699530304
,8453.309241132129
,7709.2795185412615
,8270.105393173513
,7968.19050578249
,8061.399438718704
,8151.580952402894
,8226.290035372816
,8032.145386290647
,8202.159245225534
,7938.754897835745
,8539.619218188971
,8155.965557890412
,8515.479584422132
,7766.2234475625355
,8324.309382934387
,8020.363131442051
,8100.881364878144
,8204.158123147818
,8276.975941631681
,8078.090476872694
,8259.81792989586
,8001.837419456445
,8593.670690597195
,8209.89440023364
,8567.58913627107
,7818.620088093716
,8375.66414647799
,8072.197140691954
,8150.766862624083
,8255.978690950818
,8328.076505482879
,8129.17561210435
,8311.68526971336
,8054.6653469044095
,8645.19810076827
,8261.739055645874
,8618.94380171888
,7870.278974000535
,8426.964548667333
,8123.775497417694
,8201.934667901261
,8307.53731399469
,8379.387317348293
,8180.642552354418
,8363.089678133207
,8106.300744387765
,8696.578739055374
,8313.261717111021
,8670.316097972485
,7921.773563052046
,8478.339197333853
,8175.254429044089
,8253.302180682796
,8359.008134981239
,8430.775218853398
,8232.09880591391
,8414.491901865655
,8157.770316863925
,8747.982312451762
,8364.716089070122
,8721.72198077344
,7973.222120899148
,8529.747965777142
,8226.698951207305
,8304.712403543246
,8410.449811667868
,8482.189386790493
,8283.537303499474
,8465.909076658081
,8209.208814262247
,8799.4008899595
,8416.151855458447
,8773.141848005913
,8024.656325828576
,8581.169005734766
,8278.13194081481
,8356.134320392252
,8461.881843773335
